intent,prompt
ALARM,wake me up at noon tomorrow
ALARM,set my alarm for getting up
ALARM,make sure my alarm is set for three thirty in the morning
ALARM,please set an alarm for mid day
ALARM,have an alarm set for three in the morning
ALARM,you need to set alarm for me
ALARM,i need you to set alarm for me
ALARM,set the alarm for me
ALARM,can you set alarm for me
ALARM,please set alarm for me
ALARM,make a new alarm for 6 in the morning
ALARM,make a new alarm
ALARM,create an alarm
ALARM,i need an alarm for 6am
ALARM,can you alert me at 6 in the morning
ALARM,i'd like a new alarm set for 6am
ALARM,"set an alarm for 6am, please"
ALARM,initiate a new alarm please
ALARM,set up an alarm
ALARM,make up a new alarm
ALARM,i want to make an alarm
ALARM,i would like an alarm set
ALARM,schedule an alarm
ALARM,i need an alarm set
ALARM,i need alarms set for 6am and 615am
ALARM,i need an alarm to go off tomorrow at five fifteen
ALARM,can you set an alarm for seven fifteen for tomorrow
ALARM,set me an alarm for 4pm and another for 5pm
ALARM,set one alarm for 215pm and another for 7pm
ALARM,create an alarm for 9 am and another one for 11 am
ALARM,set the alarm to go off at 9 tomorrow
ALARM,make an alarm for tomorrow at twilight
ALARM,set up two alarms one for 10am and another for 2pm
ALARM,please set up an alarm to go off tomorrow at daybreak
ALARM,could you set one alarm for 8am saturday and one for 9am sunday
ALARM,can i turn on the alarm now
ALARM,how do i set the alarm
ALARM,please turn on the alarm
ALARM,set my alarm for 6am tomorrow
ALARM,set alarm for 6am
ALARM,can you play an alarm at 5pm
ALARM,create alarm 6am
ALARM,set alarm for 5pm
ALARM,make an alarm 6am
ALARM,create an alarm for 6am
ALARM,put in an alarm for 5pm
ALARM,i want an alarm at 5pm
ALARM,set my alarm for 5pm
ALARM,set an alarm
ALARM,create alarm
ALARM,set alarm
ALARM,i need an alarm to wake me up at 8 tomorrow morning
ALARM,i need you to set an alarm for 8am tomorrow
ALARM,please set an alarm for 5 am
ALARM,set an alarm for 9pm please
ALARM,i need an alarm set for 6 in the morning
ALARM,i need an alarm set for 10:00 and another set for 3:00
ALARM,set an alarm for me for 10:00 and another one set for 4:00
ALARM,would you set my alarm for 10:00 and another for 3:00
ALARM,provide assistance by setting an alarm at 8:00 and another for 11:00
ALARM,assist me by setting my alarm for 9:00 and another for 11:00
ALARM,tomorrow i need an alarm at 7 tomorrow
ALARM,"at 9 tomorrow, set off the alarm"
ALARM,tomorrow i would like an alarm for 9 tomorrow
ALARM,tomorrow i need the alarm to go off at 5
ALARM,sound the alarm at 6 am tomorrow
ALARM,set reminder for 2 pm
ALARM,wake me up at 6 am
ALARM,ring my phone at 12 pm
ALARM,set alarm for 5 am
ALARM,please set an alarm for 2 pm for me
ALARM,set an alarm for 5 pm
ALARM,can you make an alarm for 7 am
ALARM,set a 5 am alarm please
ALARM,i need an alarm at 8 pm
ALARM,set an alarm to start work and another to stop
ALARM,set an alarm to go to sleep and another to wake up
ALARM,please set a reminder for me
ALARM,set an alarm to work out and another to go home
ALARM,create an alarm for me
ALARM,set an alarm for lunch and another for dinner
ALARM,make an alarm for me
ALARM,set an alarm for my meeting and another for my phone call
ALARM,i want an alarm set up
ALARM,i need an alarm set please
ALARM,have an alarm wake me at 10:30 am
ALARM,i want an alarm to go off at 9 am
ALARM,i need an alarm set for 9 am and another for 11 am
ALARM,i need an alarm set for 5:30 pm
ALARM,i need you to schedule an alarm
ALARM,please create an alarm for 5:45 am and an alarm for 6:15 am
ALARM,would you set up an alarm for me
ALARM,please create one alarm for 330 pm and one for 8 pm
ALARM,please create a new alarm for me
ALARM,i need an alarm to go off at 6 am
ALARM,"please set two alarms, one at 12 pm and the next at 1 pm"
ALARM,please create an alarm for 12 noon
ALARM,i need one alarm to go off at 6:30 am and a second alarm set for 8:00 am
ALARM,help me get up at eight thirty in the morning tomorrow
ALARM,i want to be woken up at 9 tomorrow
CANCEL,"please cancel what you are doing, i've changed my mind"
CANCEL,"never mind, cancel that"
CANCEL,"stop working on it, i need something else"
CANCEL,"cancel my last request, i know the answer"
CANCEL,"forget it, i do not need it anymore"
CANCEL,pause
CANCEL,cancel that last thing
CANCEL,silence
CANCEL,quit
CANCEL,mute
CANCEL,stop
CANCEL,stop and go back
CANCEL,ai stop talking
CANCEL,quiet now
CANCEL,shhhh
CANCEL,how do i make you stop talking
CANCEL,can you be quiet please
CANCEL,please stop doing what i asked
CANCEL,please be quiet
CANCEL,i would like you to stop what you were doing
CANCEL,please cancel that last command
CANCEL,can you cancel what you were doing
CANCEL,can you cancel
CANCEL,shut up!
CANCEL,i need you to stop talking now
CANCEL,i want you to quit the action
CANCEL,discontinue please
CANCEL,i don't want you to speak any more for now
CANCEL,discontinue your current task
CANCEL,abort please
CANCEL,quit the current action please
CANCEL,forget my previous command
CANCEL,abort the current action
CANCEL,actually forget that i don't need it
CANCEL,quit what you are doing
CANCEL,"sorry, you can actually stop that"
CANCEL,"i actually don't want this anymore, please abort"
CANCEL,please cancel your present task
CANCEL,"that's enough, don't say anymore please"
CANCEL,i want you to stop your present action
CANCEL,stop talking please
CANCEL,"what you are doing is not actually helpful, please cancel the action"
CANCEL,please stop
CANCEL,cancel action
CANCEL,please cancel the input
CANCEL,"ai, stop talking"
CANCEL,"ai, shut up"
CANCEL,"ai, stop!"
CANCEL,please be quiet now
CANCEL,terminate
CANCEL,negate last command
CANCEL,halt
CANCEL,would you stop talking please
CANCEL,please abandon the current job
CANCEL,please abort the current task
CANCEL,terminate current process
CANCEL,i want you to cancel the current action
CANCEL,abort
CANCEL,please stop doing that
CANCEL,abort running program
CANCEL,don't continue with what you're doing
CANCEL,oh shut the hell up would you
CANCEL,destroy process
CANCEL,please cancel that last task
CANCEL,please refrain from carrying out the current task
CANCEL,"ai, cancel that last request"
CANCEL,do not complete the task that i gave you
CANCEL,"ai, please stop your current task"
CANCEL,"actually, cancel that command"
CANCEL,"nevermind, cancel that"
CANCEL,"actually, cancel that"
CANCEL,forget it
CANCEL,cancel that
CANCEL,don't do this process
CANCEL,undo
CANCEL,cancel current process
CANCEL,undo this process
CANCEL,just shut up
CANCEL,stop that
CANCEL,cancel that input
CANCEL,"never mind, don't do that"
CANCEL,never mind
CANCEL,stop doing that
CANCEL,halt that immediately
CANCEL,stop the process happening now
CANCEL,"stop, i changed my mind"
CANCEL,cancel that last command
CANCEL,oops cancel that
CANCEL,can you stop
CANCEL,could you stop talking for a second
CANCEL,could you stop please
CANCEL,can you switch off
CANCEL,can you stop speaking
CANCEL,can you please cancel
CANCEL,can you end the task
CANCEL,scratch
CANCEL,refrain from talking
CANCEL,halt the process
CANCEL,no more talking
CANCEL,i advise you to quit talking
DATE,i would like to know what today's date is
DATE,i need information on today's date
DATE,tell me what date it is please
DATE,tell me what day today is
DATE,can you tell me tomorrow's date
DATE,what is the date for tomorrow
DATE,i would like to know tomorrow's date
DATE,what is the month and day tomorrow
DATE,"in six days, what will it be"
DATE,what day will it be in fourteen days
DATE,which day will it be five days from now
DATE,"after another eight days, what day will it be"
DATE,what day is it gonna be in twenty-one days
DATE,current date
DATE,what day of the month is it today
DATE,what date is it
DATE,can you tell me the date today
DATE,please share today's date
DATE,what date is it today
DATE,what day is it
DATE,what is the day
DATE,tell me what day it is
DATE,"is it monday, tuesday, wednesday, thursday, friday, saturday, or sunday"
DATE,what's the day of the week
DATE,"what's the date tomorrow, please"
DATE,what is the date tomorrow
DATE,"what is the date tomorrow, please"
DATE,"what is tomorrow's date, please"
DATE,can you tell me what today's date is
DATE,"what is today's month, day and year"
DATE,today's date is what
DATE,please tell me today's date
DATE,could you tell me today's date
DATE,i need to know today's date please
DATE,would you please tell me today's date
DATE,what is the date today
DATE,today's date is what exactly
DATE,please tell me what date it is today
DATE,can you tell me today's date
DATE,i need to know today's date
DATE,what would tomorrow's date be
DATE,tell me the date today
DATE,i'd like to know the date tomorrow
DATE,"in 2 days, what date will it be"
DATE,what will be the date tomorrow
DATE,what will the date be in 10 days
DATE,"15 days from today, what will the date be"
DATE,what's the date tomorrow
DATE,i need to know what date it is tomorrow
DATE,"in 100 days from now, what will be the date"
DATE,what will be the date in 100 days from now
DATE,tell me what the date is tomorrow
DATE,give me tomorrow's date please
DATE,what day is it today
DATE,do you have the date
DATE,what is the date of today
DATE,please give me today's date
DATE,what is today's date
DATE,what date is today
DATE,what is today
DATE,today is what date
DATE,what's the day today
DATE,what year is it
DATE,what's the date 400 days from now
DATE,can you tell me the current date
DATE,tell me the date 650 days from now
DATE,"what's the current date, month and year"
DATE,what will the date be 100 days from now
DATE,what day of the week is it
DATE,what day will it be 373 days from now
DATE,i need to know the date in 256 days
DATE,what is the date
DATE,give me the date today
DATE,i need to know what the date is today
DATE,i'd like to know what the date is
DATE,what's today's date
DATE,tell me what the date is today
DATE,show me a calendar
DATE,show me the date
DATE,i need the full date for today
DATE,what day of the month is it
DATE,can you remind me of the date
DATE,"tomorrow, what will the date be"
DATE,tell me what the date is for tomorrow
DATE,tell me what the date will be tomorrow
DATE,what is tomorrow's date
DATE,what's tomorrow on the calender
DATE,what date is tomorrow
DATE,calender says tomorrow is
DATE,tell me tomorrow's date
DATE,the date tomorrow is what
DATE,when will it be in 10 days
DATE,what day is it tomorrow
DATE,what's the current date
DATE,what is the full date after today
DATE,what's the date 32 days from now
DATE,can you tell me the date
DATE,what will the date be in 64 days
DATE,can you tell me what the next day is
DATE,what's today
DEFINITION,what is the meaning of realism
DEFINITION,what is regard mean
DEFINITION,what is the meaning of interorganizational
DEFINITION,what is it is all relative mean
DEFINITION,what is intercontinental mean
DEFINITION,what is the meaning of supercede
DEFINITION,what is let it be mean
DEFINITION,what is the definition of incomprehensible
DEFINITION,what is the meaning of stupendous
DEFINITION,what is the definition of intelligent
DEFINITION,what is good riddance mean
DEFINITION,what is break a leg mean
DEFINITION,what is the meaning of hyperactive
DEFINITION,what is the definition of valor
DEFINITION,what is stupedous meant
DEFINITION,find the meaning of qat
DEFINITION,what the heck is qat
DEFINITION,define qat for me
DEFINITION,read me a definition for qat
DEFINITION,look up qat please
DEFINITION,what might the meaning of altruism be
DEFINITION,exactly what does altruism mean
DEFINITION,what does altruism mean
DEFINITION,what is the definition of altruism
DEFINITION,what is the meaning of altruism
DEFINITION,affiliate's definition is what
DEFINITION,the definition of affiliate is
DEFINITION,what's the meaning of affiliate
DEFINITION,what's affiliate definition
DEFINITION,definition of affiliate is what
DEFINITION,whats the definition of poor
DEFINITION,"describe the meaning of ""dog"
DEFINITION,"what does ""money"" mean"
DEFINITION,tell me what the word die means
DEFINITION,what is the definition of succumb
DEFINITION,what is the meaning of telepathy
DEFINITION,what does tertiary mean
DEFINITION,tell me the definition of the word redemption
DEFINITION,what is the meaning of the word lux
DEFINITION,what is an ataraxy
DEFINITION,what does the word ataraxy mean
DEFINITION,what does ataraxy mean
DEFINITION,use the word ataraxy in a sentence
DEFINITION,define ataraxy
DEFINITION,what does discretionary mean
DEFINITION,define discretionary
DEFINITION,i want to know the definition of discretionary
DEFINITION,can you give the definition of deiscretionary
DEFINITION,let's hear the definition of iridium
DEFINITION,what's the definition of analogy
DEFINITION,can you tell me the definition of sucrose
DEFINITION,definition of anachronism
DEFINITION,what's the definition of patriarchy
DEFINITION,can you tell me the definition of yttrbium
DEFINITION,please share the definition of episcopalian
DEFINITION,what does saffron mean
DEFINITION,define sonogram
DEFINITION,define thoroughbred
DEFINITION,what's the meaning of a fortnight
DEFINITION,what is an anachronism
DEFINITION,what's the meaning of emulsify
DEFINITION,tell me what cyst means
DEFINITION,what is the definition of flange
DEFINITION,tell me what flange means
DEFINITION,define flange
DEFINITION,flange means what
DEFINITION,what is the meaning of flange
DEFINITION,"what does ""rescind"" mean"
DEFINITION,"what is the meaning of word ""rescind"
DEFINITION,"is ""rescind"" a word of positive connotation"
DEFINITION,"where i can use word ""rescind"
DEFINITION,read me the definition of ajar
DEFINITION,what does ajar mean
DEFINITION,can you show me the dictionary definition of ajar
DEFINITION,tell me what monstrosity means
DEFINITION,give me the definition of ajar
DEFINITION,what is the definition of didactic
DEFINITION,i need to know what adumbrate means can you look it up for me now
DEFINITION,i want to know what the word discomfit means
DEFINITION,find what the word diaphanous mean please
DEFINITION,do you know what calumny means  please look it up for me
DEFINITION,find out what the word abrogate means for me
DEFINITION,tell me what edict means
DEFINITION,what does the word abjure mean
DEFINITION,can you tell me what dirge means
DEFINITION,tell me what the word arboreal means
DEFINITION,whats the definition of transmute
DEFINITION,what is the meaning of the word slander
DEFINITION,what is meant by defense
DEFINITION,tell me what the word bounty means
DEFINITION,what does deceive mean
DEFINITION,define zesty
DEFINITION,look up zesty in dictionary
DEFINITION,definition of zesty
DEFINITION,what is the definition of zesty
DEFINITION,what does zesty mean
DEFINITION,tell me what alternative means
DEFINITION,what does alternative mean
DEFINITION,give me the meaning of alternative
DEFINITION,tell me the meaning of alternative
FLIP_COIN,please flip a coin and tell me what side it lands on
FLIP_COIN,will you flip a coin so i can make a choice
FLIP_COIN,flip a two sided coin and tell me what it lands on
FLIP_COIN,i need you to flip a coin so i can decide
FLIP_COIN,begin the coin flip now
FLIP_COIN,i want you to help me make a decision by flipping a coin
FLIP_COIN,"please flip a coin, and i call heads"
FLIP_COIN,"flip a coin and let me know if it lands on heads or tails, please"
FLIP_COIN,i want you to flip a fair sided coin
FLIP_COIN,are you able to flip a two sided coin
FLIP_COIN,i need you to flip a coin so i can make a choice
FLIP_COIN,"can you please flip a coin, i call tails"
FLIP_COIN,"flip a coin, i call tails"
FLIP_COIN,heads or tails i choose tails
FLIP_COIN,please tell me if a coin lands on tails
FLIP_COIN,please tell me if a coin flip lands on heads or tails
FLIP_COIN,flip a coin heads or tails
FLIP_COIN,please flip a coin i select tails
FLIP_COIN,will you flip a coin
FLIP_COIN,can you get a coin and flip it
FLIP_COIN,would you flip a coin
FLIP_COIN,will you get a coin and flip it
FLIP_COIN,"flip a coin for me, with you calling heads"
FLIP_COIN,i'd like you to throw a virtual coin for me
FLIP_COIN,can i get a random heads or tails
FLIP_COIN,can you do a coin flip
FLIP_COIN,i want a coin flip and i'll take tails
FLIP_COIN,i call tails for a coin flip you need to do right now
FLIP_COIN,do a virtual coin flip and tell me if i win as tails
FLIP_COIN,randomly pick between heads or tails and tell me if tails wins
FLIP_COIN,toss a coin and tell me what it lands on
FLIP_COIN,choose heads or tails and tell me what you came up with
FLIP_COIN,flip a fair coin i win if it's tails
FLIP_COIN,flip a coin for me i call tails
FLIP_COIN,flip me a coin i'm calling tails
FLIP_COIN,take a coin and flip it and i call tails
FLIP_COIN,"hey, flip me a coin i call tails"
FLIP_COIN,flip a coin one time
FLIP_COIN,flip that dime
FLIP_COIN,i need to do a fair coin flip
FLIP_COIN,flip that coin once; it must be tails
FLIP_COIN,flip a quarter
FLIP_COIN,do one coin flip; it will be tails
FLIP_COIN,flip a coin; i say tails
FLIP_COIN,how about a coin flip
FLIP_COIN,let's decide with a coin flip
FLIP_COIN,can you flip a coin once
FLIP_COIN,"if you flip a coin, i call tails"
FLIP_COIN,let's settle it with a coin flip
FLIP_COIN,please flip a coin i hope its tails
FLIP_COIN,i need you to flip a coin once
FLIP_COIN,flip that coin please
FLIP_COIN,flip the coin
FLIP_COIN,"flip that coin please, i choose heads"
FLIP_COIN,flip that coin now
FLIP_COIN,"i choose heads, now flip that coin"
FLIP_COIN,"go ahead and flip that coin, i am choosing heads here"
FLIP_COIN,flip it please
FLIP_COIN,"i am choosing heads, now please flip that coin"
FLIP_COIN,go ahead and flip a coin
FLIP_COIN,"go ahead and flip that coin, i choose heads"
FLIP_COIN,can you flip a coin and tell me the result
FLIP_COIN,i will determine it with a coin flip
FLIP_COIN,i want you to flip a coin
FLIP_COIN,flip a coin and tell me if its heads or tails
FLIP_COIN,flip a coin if you will
FLIP_COIN,can you do a coin flip for me
FLIP_COIN,i need to have a coin flipped
FLIP_COIN,i would like a coin flip
FLIP_COIN,i ned you to flip a coin
FLIP_COIN,i want a coin flipped
FLIP_COIN,flip a coin for me
FLIP_COIN,i want a coin flip
FLIP_COIN,i require a coin flip
FLIP_COIN,lets go with heads or tails
FLIP_COIN,lets flip for it
FLIP_COIN,toss a coin i will take heads
FLIP_COIN,"lets do a coin toss, i call tails"
FLIP_COIN,"filp a coin, i call heads"
FLIP_COIN,spin a coin
FLIP_COIN,lets do a coin toss
FLIP_COIN,toss a coin i will take tails
FLIP_COIN,do a coin flip
FLIP_COIN,do heads or tails
FLIP_COIN,coin flip
FLIP_COIN,heads or tails please
FLIP_COIN,"ai, heads or tails"
FLIP_COIN,"ai, coin flip"
FLIP_COIN,"ai, please flip a coin"
FLIP_COIN,"ai, give me the results of a coin flip"
FLIP_COIN,flip a coin for me ai
FLIP_COIN,"flip a coin, you win with heads"
FLIP_COIN,"can you flip a coin, i will take tails"
FLIP_COIN,"go ahead and flip a coin, i am calling tails"
FLIP_COIN,"please flip a coin for me, tails i win"
FLIP_COIN,"flip a coin, i have tails"
FLIP_COIN,heads or tails
FLIP_COIN,perform a coin flip
FLIP_COIN,do a coin toss
FLIP_COIN,help me flip a coin
GREETING,how's everything
GREETING,how are things going
GREETING,"hello, anyone there"
GREETING,are you okay right now
GREETING,are you doing okay
GREETING,how's it going right now
GREETING,ahoy hoy
GREETING,hey there!
GREETING,how is everything with you
GREETING,hey hey!
GREETING,how have you been doing
GREETING,it's nice to see you
GREETING,hello there!
GREETING,how is it going
GREETING,how are things with you
GREETING,hiya!
GREETING,what's up
GREETING,how're you doing
GREETING,it's good to see you
GREETING,is everything going okay
GREETING,how is everything going
GREETING,how goes it
GREETING,"hello, ai"
GREETING,"hey, ai"
GREETING,"wake up, ai"
GREETING,good day
GREETING,greetings to you
GREETING,"hello, friend"
GREETING,whats up with you
GREETING,hey there fellow
GREETING,whats up
GREETING,"yo, hows it going"
GREETING,how are things for you
GREETING,are things going well for you
GREETING,hello siri
GREETING,hi there alexa
GREETING,"how are you doing, ai"
GREETING,ai how are you doing today
GREETING,"how are you doing today, ai"
GREETING,how is my ai doing
GREETING,ai how are you doing on this fine day
GREETING,heller
GREETING,so how is everything
GREETING,how are you this day
GREETING,hi how are you
GREETING,how is everything going for you
GREETING,hi how is everything
GREETING,well hello
GREETING,just wanted to say hi
GREETING,how is your day
GREETING,why hello
GREETING,are you well
GREETING,hola
GREETING,good to see you
GREETING,how've you been feeling
GREETING,how are things
GREETING,are you doing well
GREETING,good evening
GREETING,yo
GREETING,"ai, how are you feeling"
GREETING,how is the ai doing
GREETING,"ai, how are you doing"
GREETING,hi ai
GREETING,have you been good
GREETING,is everything ok with you
GREETING,how have you been
GREETING,are you doing ok
GREETING,how are you
GREETING,how's life
GREETING,what's up with you
GREETING,what's going on
GREETING,how's it going with you
GREETING,how's ife treating you
GREETING,hello how's it going
GREETING,how are you today
GREETING,can you tell me how you're doing today
GREETING,how are you this fine day
GREETING,how are things treating you
GREETING,aloha
GREETING,are you feeling okay
GREETING,how do you feel
GREETING,bonjour
GREETING,how are things going for you
GREETING,what do you feel like doing
GREETING,"hello, what's up"
GREETING,hey how's life
GREETING,hi there
GREETING,hey how's it hanging
GREETING,tell me how you've been
GREETING,how is life treating you
GREETING,"hi there, how are things"
GREETING,"hello, how are you"
GREETING,"hey, how's it going"
GREETING,"hello, are you doing alright"
GREETING,hi! are you doing okay
GREETING,what's happening
GREETING,hey what's up
GREETING,"why, hello bandit"
GREETING,"howdy, what's new"
GREETING,salutations!
MAKE_CALL,place a phone call to yiming
MAKE_CALL,phone lobby
MAKE_CALL,can you call dominos pizza
MAKE_CALL,can you redial the last number dialed
MAKE_CALL,call 911
MAKE_CALL,can you call a taxi
MAKE_CALL,can you call mom
MAKE_CALL,call work
MAKE_CALL,call justin
MAKE_CALL,call home
MAKE_CALL,call erryn
MAKE_CALL,i have to call the commander
MAKE_CALL,i will be calling hr
MAKE_CALL,it is important that i call katie
MAKE_CALL,x is who i need to call
MAKE_CALL,i am going to call the landlord
MAKE_CALL,call macy
MAKE_CALL,dial lisa's cell phone number
MAKE_CALL,please dial david now
MAKE_CALL,i need you to call michael at home
MAKE_CALL,can you call mary
MAKE_CALL,please phone lizzy
MAKE_CALL,please dial x's phone number
MAKE_CALL,dial x's phone please
MAKE_CALL,please call toby
MAKE_CALL,call dave
MAKE_CALL,call my best friend
MAKE_CALL,can you make a phone call to mark
MAKE_CALL,can you call my mom
MAKE_CALL,call mark
MAKE_CALL,call friend
MAKE_CALL,can i call a restaurant
MAKE_CALL,can you make a phone call to kevin
MAKE_CALL,call bob for me
MAKE_CALL,call my mother
MAKE_CALL,call jim
MAKE_CALL,can you make a phone call to roger
MAKE_CALL,can you make a phone call to dave
MAKE_CALL,call mymother
MAKE_CALL,can you make a phone call to randy
MAKE_CALL,bella needs to be called
MAKE_CALL,give liz a call
MAKE_CALL,would you give jenny a call
MAKE_CALL,i want you to call bella
MAKE_CALL,phone call secretary
MAKE_CALL,get a hold of sue
MAKE_CALL,i'm looking to call a group
MAKE_CALL,call tom
MAKE_CALL,dial x's number
MAKE_CALL,dial christie's cell
MAKE_CALL,call christie's work number
MAKE_CALL,phone christie
MAKE_CALL,call christie
MAKE_CALL,please dial christie's number
MAKE_CALL,can you call someone
MAKE_CALL,call someone for me
MAKE_CALL,dial someone's phone number
MAKE_CALL,i need to talk to someone on the phone
MAKE_CALL,call someone
MAKE_CALL,it's time for me to call drew
MAKE_CALL,it's necessary to call michael
MAKE_CALL,i must call jordan
MAKE_CALL,x is waiting for me to call
MAKE_CALL,put me on a call to sally
MAKE_CALL,place a call to bill now
MAKE_CALL,i want to place a call to mike
MAKE_CALL,i have to call jane
MAKE_CALL,can you call russell
MAKE_CALL,place call to robby
MAKE_CALL,dial sarah
MAKE_CALL,call robby
MAKE_CALL,phone sarah
MAKE_CALL,call sarah
MAKE_CALL,call robby for me
MAKE_CALL,i want to call robby
MAKE_CALL,can you call robby
MAKE_CALL,phonecall sarah
MAKE_CALL,i want to talk to sarah
MAKE_CALL,dial steven
MAKE_CALL,phone steven
MAKE_CALL,ring steven
MAKE_CALL,call steven
MAKE_CALL,i want to make a call to uncle
MAKE_CALL,use my phone to dial work
MAKE_CALL,start a phone call with kathy
MAKE_CALL,initiate a phone call with receptionist
MAKE_CALL,can a phone call be made to maria
MAKE_CALL,i need you to call the broker
MAKE_CALL,please do me a favor and call brother mario
MAKE_CALL,can you please call nata
MAKE_CALL,call sandra right now
MAKE_CALL,immediately call tom
MAKE_CALL,i must call dr smith
MAKE_CALL,connect me to bob
MAKE_CALL,place a call to father callahan
MAKE_CALL,i should call ruthie
MAKE_CALL,please call christy
MAKE_CALL,i must call roderick
MAKE_CALL,please make a phone call to christopher
MAKE_CALL,i need to call mark
MEANING_OF_LIFE,does life have meaning
MEANING_OF_LIFE,is being alive the meaning of life
MEANING_OF_LIFE,what is the real meaning of life
MEANING_OF_LIFE,what is the answer to the meaning of life
MEANING_OF_LIFE,is there really an answer to the meaning of life
MEANING_OF_LIFE,does life have a meaning
MEANING_OF_LIFE,who can tell me if there's any meaning to life
MEANING_OF_LIFE,what makes life have any meaning
MEANING_OF_LIFE,why do you think we're here
MEANING_OF_LIFE,what's the answer to existence
MEANING_OF_LIFE,what's the point of sentience
MEANING_OF_LIFE,what's the purpose of existence
MEANING_OF_LIFE,what's the purpose of life
MEANING_OF_LIFE,what's the point of this dumpster fire known as life
MEANING_OF_LIFE,what is life's meaning
MEANING_OF_LIFE,is there a greater purpose in life
MEANING_OF_LIFE,what is our purpose in life
MEANING_OF_LIFE,how is life in existence
MEANING_OF_LIFE,what's lifes meaning
MEANING_OF_LIFE,what exactly is the meaning of life
MEANING_OF_LIFE,whats lifes meaning exactly
MEANING_OF_LIFE,what's the meaning of this life
MEANING_OF_LIFE,what is the meaning of life here
MEANING_OF_LIFE,does my life have meaning
MEANING_OF_LIFE,i wish to know the meaning of life
MEANING_OF_LIFE,i wanna know the meaning of life
MEANING_OF_LIFE,i wanna know the point of life
MEANING_OF_LIFE,i need to know the point of life
MEANING_OF_LIFE,i must know the point of life
MEANING_OF_LIFE,tell the meaning of life
MEANING_OF_LIFE,i gotta know the meaning of life
MEANING_OF_LIFE,what is your take on the meaning of life
MEANING_OF_LIFE,tell me what is the purpose of life
MEANING_OF_LIFE,what meaning does life hold
MEANING_OF_LIFE,what do you think is the meaning of like
MEANING_OF_LIFE,how do i find the meaning of life
MEANING_OF_LIFE,what is the purpose of exsistance
MEANING_OF_LIFE,what is your version on the meaning of life
MEANING_OF_LIFE,what is your explanation for the meaning of life
MEANING_OF_LIFE,what is the purpose of creation
MEANING_OF_LIFE,can you figure out the meaning of life
MEANING_OF_LIFE,whats your take on the meaning of life
MEANING_OF_LIFE,can you explain the meaning of life to me
MEANING_OF_LIFE,what is life all about
MEANING_OF_LIFE,can you explain the meaning of life
MEANING_OF_LIFE,"what's the point of life, anyways"
MEANING_OF_LIFE,the meaning of life please
MEANING_OF_LIFE,the meaning of life
